District,4thmath,8thmath,11thmath,4th read,8th read,11th read,8th sci,11th sci,size,size(coded),small size,med size,large size,salary,experience,4th avg,8th avg,11th avg,Math avg,Read avg,Sci avg
Estherville Lincoln,64,57,83,69,54,80,42,67,1456,2,0,1,0,35680.8,12.11,66.5,51,76.6667,68,67.6667,54.5
Forest City,67,80,84,67,69,74,80,*,1402,2,0,1,0,35389.4,13.29,67,76.3333,*,77,70,*
Saydel,49,64,67,53,57,62,61,71,1366,2,0,1,0,33463.3,7.94,51,60.6667,66.6667,60,57.3333,66
MOC-Floyd Valley,85,71,71,89,73,75,54,56,1349,2,0,1,0,35738.3,10.25,87,66,67.3333,75.6667,79,55
Chariton,71,76,78,68,63,78,*,*,1339,2,0,1,0,34284.1,11.86,69.5,*,*,75,69.6667,*
Algo,83,77,83,76,70,76,67,76,1322,2,0,1,0,39830.2,14.64,79.5,71.3333,78.3333,81,74,71.5
Spirit Lake,80,85,83,71,75,67,61,64,1309,2,0,1,0,36754.8,11.33,75.5,73.6667,71.3333,82.6667,71,62.5
Ballard,87,84,82,78,76,76,72,87,1287,2,0,1,0,36978.4,13.66,82.5,77.3333,81.6667,84.3333,76.6667,79.5
Amosa,71,77,86,68,64,74,69,78,1269,2,0,1,0,35092.3,10.93,69.5,70,79.3333,78,68.6667,73.5
Red Oak,73,75,54,62,62,53,62,61,1268,2,0,1,0,34985.7,13.36,67.5,66.3333,56,67.3333,59,61.5
Hampton-Dumont,62,76,82,71,69,70,65,76,1236,2,0,1,0,34658.3,11.14,66.5,70,76,73.3333,70,70.5
Davis County,68,71,79,62,65,66,65,91,1228,2,0,1,0,30051.4,16.34,65,67,78.6667,72.6667,64.3333,78
Union,73,75,93,77,66,82,75,83,1225,2,0,1,0,32426.8,11.13,75,72,86,80.3333,75,79
Albia,67,85,76,68,82,86,73,60,1224,2,0,1,0,34333.9,12.58,67.5,80,74,76,78.6667,66.5
Sergeant Bluff-Luton,69,85,76,69,79,64,*,*,1222,2,0,1,0,39927.1,12.36,69,*,*,76.6667,70.6667,*
Clarinda Community,67,74,76,62,74,65,90,79,1218,2,0,1,0,31526.4,11.58,64.5,79.3333,73.3333,72.3333,67,84.5
Clear Creek-Ama,67,75,75,64,72,90,*,*,1215,2,0,1,0,31307.5,10.76,65.5,*,*,72.3333,75.3333,*
New Hampton,87,82,88,75,80,86,86,90,1196,2,0,1,0,35988.1,14.89,81,82.6667,88,85.6667,80.3333,88
Cherokee,76,82,77,62,67,75,82,83,1181,2,0,1,0,34256.7,12.19,69,77,78.3333,78.3333,68,82.5
Midland,69,64,67,59,69,52,*,*,1178,2,0,1,0,33951.7,10.62,64,*,*,66.6667,60,*
Carlisle,71,77,45,69,79,56,87,50,1159,2,0,1,0,34301.6,12.84,70,81,50.3333,64.3333,68,68.5
Mount Vernon,76,83,84,76,88,88,84,86,1154,2,0,1,0,36800.8,15.72,76,85,86,81,84,85
Roland-Story,69,89,91,71,74,80,*,*,1142,2,0,1,0,39870,12.3,70,*,*,83,75,*
North Central,83,84,69,68,73,67,*,*,1135,2,0,1,0,35836.9,12.88,75.5,*,*,78.6667,69.3333,*
West Liberty,60,66,61,52,53,54,71,54,1129,2,0,1,0,33920.9,11.59,56,63.3333,56.3333,62.3333,53,62.5
Iowa Falls,59,64,84,57,65,71,62,78,1128,2,0,1,0,40136.1,19.27,58,63.6667,77.6667,69,64.3333,70
Center Point-Urba,48,75,88,64,63,90,64,89,1117,2,0,1,0,31975.8,9.59,56,67.3333,89,70.3333,72.3333,76.5
Central Lee,63,70,72,63,63,60,79,70,1110,2,0,1,0,37713.8,14.53,63,70.6667,67.3333,68.3333,62,74.5
Monticello,69,83,93,69,69,95,*,*,1061,2,0,1,0,33359.8,11.97,69,*,*,81.6667,77.6667,*
Sheldon,82,88,77,74,82,69,78,80,1057,2,0,1,0,38202,11.77,78,82.6667,75.3333,82.3333,75,79
Columbus,31,54,94,42,53,68,*,*,1051,2,0,1,0,35232.1,9.84,36.5,*,*,59.6667,54.3333,*
Williamsburg,80,88,88,73,73,77,*,*,1042,2,0,1,0,33518.3,10.79,76.5,*,*,85.3333,74.3333,*
Solon,85,83,96,79,79,98,73,*,1039,2,0,1,0,34275.5,10.52,82,78.3333,*,88,85.3333,*
PCM,88,76,78,78,71,66,89,72,1034,2,0,1,0,32154.5,12.1,83,78.6667,72,80.6667,71.6667,80.5
Shendoah,76,70,77,66,66,78,85,97,1028,2,0,1,0,34442.6,13.67,71,73.6667,84,74.3333,70,91
Maquoketa Valley,84,86,78,82,80,82,89,93,974,1,1,0,0,36792,15.06,83,85,84.3333,82.6667,81.3333,91
Wilton,65,65,78,60,69,74,60,76,962,1,1,0,0,33031.5,12.81,62.5,64.6667,76,69.3333,67.6667,68
Gilbert,86,88,86,80,86,87,78,86,947,1,1,0,0,37073,11.09,83,84,86.3333,86.6667,84.3333,82
Louisa-Muscatine,63,60,*,67,60,*,68,*,944,1,1,0,0,34071.4,12.03,65,62.6667,*,*,*,*
Missouri Valley,64,64,81,64,64,78,*,*,944,1,1,0,0,35154.2,16.34,64,*,*,69.6667,68.6667,*
Camanche,69,60,78,54,63,64,*,*,939,1,1,0,0,37067.8,15.91,61.5,*,*,69,60.3333,*
Clarion-Goldfield,82,69,82,74,68,74,79,79,936,1,1,0,0,34592.9,11.47,78,72,78.3333,77.6667,72,79
Mediapolis,83,79,82,59,89,62,84,53,930,1,1,0,0,32022,13.33,71,84,65.6667,81.3333,70,68.5
Bondurant-Farrar,78,82,80,73,74,70,80,78,925,1,1,0,0,32692.9,11.36,75.5,78.6667,76,80,72.3333,79
Nora Springs-Rock Falls,59,86,85,56,69,80,74,74,922,1,1,0,0,32155.7,11.99,57.5,76.3333,79.6667,76.6667,68.3333,74
Sioux Center,88,100,88,85,100,87,*,*,922,1,1,0,0,41655.8,11.82,86.5,*,*,92,90.6667,*
Sibley-Ocheyedan,61,77,86,68,85,73,78,78,920,1,1,0,0,37336,14.87,64.5,80,79,74.6667,75.3333,78
Hudson,76,77,89,76,67,78,54,58,918,1,1,0,0,41805.1,11.63,76,66,75,80.6667,73.6667,56
Eagle Grove,67,64,71,67,68,72,75,74,917,1,1,0,0,32535.4,12.67,67,69,72.3333,67.3333,69,74.5
North Mahaska,81,75,88,74,64,72,*,*,909,1,1,0,0,33335.9,11.28,77.5,*,*,81.3333,70,*
Ogden,67,73,75,69,68,48,79,53,909,1,1,0,0,36131.2,11.98,68,73.3333,58.6667,71.6667,61.6667,66
Starmont,64,82,80,53,69,68,89,39,902,1,1,0,0,34108,13.73,58.5,80,62.3333,75.3333,63.3333,64
Colfax-Mingo,60,77,64,66,80,67,78,76,897,1,1,0,0,33341.8,10.14,63,78.3333,69,67,71,77
Garner-Hayfield,74,86,85,67,77,84,84,91,878,1,1,0,0,34234.6,13,70.5,82.3333,86.6667,81.6667,76,87.5
East Marshall,54,63,74,69,66,68,62,*,877,1,1,0,0,31545.9,11.17,61.5,63.6667,*,63.6667,67.6667,*
Hartley-Melvin-Sanborn,75,76,88,68,64,71,79,80,875,1,1,0,0,33424.2,9.66,71.5,73,79.6667,79.6667,67.6667,79.5
Tipton,79,77,84,80,68,65,*,78,874,1,1,0,0,31684.5,10.62,79.5,*,75.6667,80,71,*
Eddyville-Blakesburg,80,77,81,76,68,81,64,85,872,1,1,0,0,31681,9.39,78,69.6667,82.3333,79.3333,75,74.5
Manson Northwest Webster,79,76,76,85,70,58,54,30,872,1,1,0,0,30246.2,10.78,82,66.6667,54.6667,77,71,42
West Branch,73,56,72,64,62,64,65,72,840,1,1,0,0,32090.7,8.82,68.5,61,69.3333,67,63.3333,68.5
Belmond-Klemme,54,80,79,50,75,72,84,69,839,1,1,0,0,35296.7,11.14,52,79.6667,73.3333,71,65.6667,76.5
Battle Creek-Ida Grove,80,86,90,78,70,74,*,*,836,1,1,0,0,34476.8,14.94,79,*,*,85.3333,74,*
Prairie Valley,84,67,68,77,62,79,88,79,832,1,1,0,0,33587.8,11.78,80.5,72.3333,75.3333,73,72.6667,83.5
West Marshall,76,77,86,72,69,65,62,76,825,1,1,0,0,31108.5,9.4,74,69.3333,75.6667,79.6667,68.6667,69
shua-Plainfield,78,79,78,57,73,67,75,67,823,1,1,0,0,36215.6,15.77,67.5,75.6667,70.6667,78.3333,65.6667,71
Jesup,73,66,81,72,57,73,81,80,822,1,1,0,0,36710.3,13.81,72.5,68,78,73.3333,67.3333,80.5
Gladbrook-Reinbeck,88,83,88,82,72,73,87,78,805,1,1,0,0,33519.1,13.07,85,80.6667,79.6667,86.3333,75.6667,82.5
South O'Brien Community,91,70,75,67,72,68,89,94,799,1,1,0,0,35804.4,12.57,79,77,79,78.6667,69,91.5
West Lyon,85,84,94,86,76,90,89,91,797,1,1,0,0,34354.7,14.02,85.5,83,91.6667,87.6667,84,90
Mount Ayr,81,69,74,79,55,77,58,73,795,1,1,0,0,33945.1,11.36,80,60.6667,74.6667,74.6667,70.3333,65.5
Oelwein,73,58,79,57,56,81,61,90,792,1,1,0,0,31297.7,9.98,65,58.3333,83.3333,70,64.6667,75.5
Audubon,85,85,93,77,80,83,83,78,791,1,1,0,0,33791.2,13.57,81,82.6667,84.6667,87.6667,80,80.5
Emmetsburg,78,76,73,68,75,78,69,84,781,1,1,0,0,34912,13.47,73,73.3333,78.3333,75.6667,73.6667,76.5
Pocahontas Area,82,82,90,70,69,84,84,81,773,1,1,0,0,34417.2,14.37,76,78.3333,85,84.6667,74.3333,82.5
Northeast,84,75,84,72,70,86,60,90,769,1,1,0,0,30452.6,8.68,78,68.3333,86.6667,81,76,75
Dike-New Hartford,79,83,90,62,66,86,91,*,759,1,1,0,0,34770.8,12.43,70.5,80,*,84,71.3333,*
Denver,84,90,87,81,77,73,82,78,755,1,1,0,0,34904.9,13.44,82.5,83,79.3333,87,77,80
Grundy Center,91,100,91,70,91,82,90,78,754,1,1,0,0,33772.5,13.33,80.5,93.6667,83.6667,94,81,84
St Ansgar,89,86,87,72,83,89,*,*,754,1,1,0,0,38510.2,14.8,80.5,*,*,87.3333,81.3333,*
Ottumwa,64,64,72,54,61,62,52,67,753,1,1,0,0,30648.8,12.51,59,59,67,66.6667,59,59.5
Tri-Center,80,81,91,85,64,86,86,93,751,1,1,0,0,32684.4,11.15,82.5,77,90,84,78.3333,89.5
West Burlington Ind,56,56,73,81,*,60,67,67,748,1,1,0,0,32554.4,9.71,68.5,*,66.6667,61.6667,*,67
Wapello,64,57,66,59,56,44,*,*,744,1,1,0,0,32999.8,12.18,61.5,*,*,62.3333,53,*
West Sioux,77,74,81,69,72,69,75,86,741,1,1,0,0,32086.8,10.58,73,73.6667,78.6667,77.3333,70,80.5
Pekin,86,63,82,66,66,54,62,67,740,1,1,0,0,33455.3,11.12,76,63.6667,67.6667,77,62,64.5
South Hamilton,85,68,72,77,60,71,55,52,740,1,1,0,0,35973.8,13.03,81,61,65,75,69.3333,53.5
Belle Plaine,47,72,81,60,60,71,85,72,739,1,1,0,0,32561.1,10.69,53.5,72.3333,74.6667,66.6667,63.6667,78.5
Sigourney,61,73,58,56,68,48,68,68,737,1,1,0,0,29124.5,8.09,58.5,69.6667,58,64,57.3333,68
Eldora-New Providence,64,74,78,61,75,63,*,*,730,1,1,0,0,33501.4,11.05,62.5,*,*,72,66.3333,*
Riverside,65,76,82,57,76,76,71,80,730,1,1,0,0,32080.3,12.27,61,74.3333,79.3333,74.3333,69.6667,75.5
Lake Mills,60,87,72,67,69,85,84,86,726,1,1,0,0,35724.2,14.7,63.5,80,81,73,73.6667,85
Mid-Prairie,69,81,76,64,78,79,*,*,726,1,1,0,0,30050.5,8.84,66.5,*,*,75.3333,73.6667,*
Westwood,62,83,71,77,74,71,67,74,724,1,1,0,0,32526.4,12.42,69.5,74.6667,72,72,74,70.5
Underwood,74,76,84,81,80,76,*,*,714,1,1,0,0,32736.8,9.35,77.5,*,*,78,79,*
Interstate 35,77,78,70,63,75,60,85,42,713,1,1,0,0,30321.8,10.95,70,79.3333,57.3333,75,66,63.5
Logan-Magnolia,82,90,54,70,78,79,82,84,709,1,1,0,0,31696.4,9.78,76,83.3333,72.3333,75.3333,75.6667,83
West Hancock,71,74,89,64,69,76,60,92,704,1,1,0,0,32867.5,11.89,67.5,67.6667,85.6667,78,69.6667,76
Central Decatur,74,69,78,58,67,61,70,66,698,1,1,0,0,29736.6,12.27,66,68.6667,68.3333,73.6667,62,68
North Winneshiek,91,77,53,74,58,50,77,54,695,1,1,0,0,33147.4,13.14,82.5,70.6667,52.3333,73.6667,60.6667,65.5
Pleasantville,75,67,83,64,67,77,64,90,693,1,1,0,0,33391.4,14.73,69.5,66,83.3333,75,69.3333,77
BCLUW,76,86,81,64,70,83,66,85,691,1,1,0,0,33475.9,10.15,70,74,83,81,72.3333,75.5
Griswold,55,84,60,64,76,47,*,*,691,1,1,0,0,32339.3,12.02,59.5,*,*,66.3333,62.3333,*
Durant,62,75,87,57,71,82,87,74,689,1,1,0,0,31194.6,12.81,59.5,77.6667,81,74.6667,70,80.5
Akron Westfield,72,75,81,69,71,76,*,*,684,1,1,0,0,31813.8,12.07,70.5,*,*,76,72,*
Wapsie Valley,77,85,77,63,66,56,67,73,683,1,1,0,0,32960.2,15.41,70,72.6667,68.6667,79.6667,61.6667,70
South Winneshiek,83,83,80,62,79,64,83,82,674,1,1,0,0,34778.8,15.2,72.5,81.6667,75.3333,82,68.3333,82.5
Southern Cal,48,80,80,74,55,83,*,*,670,1,1,0,0,30921.5,9.87,61,*,*,69.3333,70.6667,*
Central Lyon,81,85,88,85,69,82,85,74,662,1,1,0,0,35775.7,16.39,83,79.6667,81.3333,84.6667,78.6667,79.5
Central,67,69,72,65,78,88,80,68,660,1,1,0,0,37654.5,19.34,66,75.6667,76,69.3333,77,74
Woodbury Central,87,85,78,81,75,63,57,94,659,1,1,0,0,34020.8,12.58,84,72.3333,78.3333,83.3333,73,75.5
Sumner,83,88,88,72,67,87,86,94,658,1,1,0,0,37534.1,19.79,77.5,80.3333,89.6667,86.3333,75.3333,90
Van Buren,80,78,87,57,76,87,74,97,657,1,1,0,0,30876.8,11.67,68.5,76,90.3333,81.6667,73.3333,85.5
Corning,59,80,52,50,82,38,81,46,648,1,1,0,0,33004.2,12.71,54.5,81,45.3333,63.6667,56.6667,63.5
Rudd-Rockford-Marble Rk,76,78,83,81,87,74,74,81,647,1,1,0,0,33544.4,13.77,78.5,79.6667,79.3333,79,80.6667,77.5
Iowa Valley,83,78,75,76,69,65,78,70,646,1,1,0,0,33841.7,10.37,79.5,75,70,78.6667,70,74
Bedford,63,82,79,51,73,70,78,82,643,1,1,0,0,31067.5,12.24,57,77.6667,77,74.6667,64.6667,80
Bellevue,85,68,78,80,62,53,77,62,643,1,1,0,0,34935.8,16.22,82.5,69,64.3333,77,65,69.5
Brooklyn-Guernsey-Malcom,86,80,63,71,74,59,90,65,640,1,1,0,0,29568.5,9.85,78.5,81.3333,62.3333,76.3333,68,77.5
A-H-S-T,81,79,80,66,81,71,72,79,637,1,1,0,0,31806.3,12.64,73.5,77.3333,76.6667,80,72.6667,75.5
Edgewood-Colesburg,71,71,48,76,63,50,71,59,625,1,1,0,0,32525.3,13.17,73.5,68.3333,52.3333,63.3333,63,65
Hinton,80,76,82,63,78,70,82,74,624,1,1,0,0,30026.6,12.11,71.5,78.6667,75.3333,79.3333,70.3333,78
Alta,78,74,80,80,*,*,63,88,623,1,1,0,0,31565,11.13,79,*,*,77.3333,*,75.5
Lawton-Bronson,92,91,80,84,87,74,81,75,621,1,1,0,0,32794.9,13.63,88,86.3333,76.3333,87.6667,81.6667,78
Turkey Valley,71,88,87,59,76,90,*,*,621,1,1,0,0,33792.6,15.16,65,*,*,82,75,*
Alburnett,70,87,83,70,80,65,80,63,620,1,1,0,0,33223.1,13.66,70,82.3333,70.3333,80,71.6667,71.5
Wall Lake View Auburn,95,90,83,71,78,83,*,*,617,1,1,0,0,30769,13.78,83,*,*,89.3333,77.3333,*
Montezuma,86,69,68,61,67,56,53,58,611,1,1,0,0,31013.5,10.63,73.5,63,60.6667,74.3333,61.3333,55.5
Highland,49,76,74,39,55,74,*,*,609,1,1,0,0,31432.1,7.35,44,*,*,66.3333,56,*
Lisbon,77,67,85,64,60,79,80,*,598,1,1,0,0,34864.7,14.24,70.5,69,*,76.3333,67.6667,*
Valley,70,86,68,44,67,52,80,60,597,1,1,0,0,31656.5,7.32,57,77.6667,60,74.6667,54.3333,70
Woodward-Granger,76,77,75,67,70,67,72,61,597,1,1,0,0,31804.9,9.48,71.5,73,67.6667,76,68,66.5
Madrid,85,85,73,72,79,67,68,62,596,1,1,0,0,33343.3,15.32,78.5,77.3333,67.3333,81,72.6667,65
Marcus-Meriden-Cleghorn,79,86,96,70,81,92,81,85,594,1,1,0,0,32676.1,13.02,74.5,82.6667,91,87,81,83
Rockwell City-Lytton,83,86,74,77,86,79,*,*,580,1,1,0,0,28933.8,11.33,80,*,*,81,80.6667,*
Boyer Valley,61,76,71,63,70,65,72,55,576,1,1,0,0,28329,7.04,62,72.6667,63.6667,69.3333,66,63.5
East Buchan,70,82,79,59,76,67,80,65,576,1,1,0,0,32845.5,16.03,64.5,79.3333,70.3333,77,67.3333,72.5
Treynor,87,91,93,96,95,93,93,100,575,1,1,0,0,33120,13.27,91.5,93,95.3333,90.3333,94.6667,96.5
Southeast Warren,70,85,86,59,73,51,66,40,569,1,1,0,0,29679.9,8.86,64.5,74.6667,59,80.3333,61,53
North Fayette,81,77,86,74,76,69,76,71,567,1,1,0,0,30590.2,14.57,77.5,76.3333,75.3333,81.3333,73,73.5
New London,66,68,86,64,51,64,61,30,566,1,1,0,0,30956.4,12.64,65,60,60,73.3333,59.6667,45.5
Waco,69,71,87,69,53,89,71,87,562,1,1,0,0,32721.4,11.41,69,65,87.6667,75.6667,70.3333,79
Boyden-Hull,71,67,79,79,55,81,70,84,556,1,1,0,0,34900.8,13.06,75,64,81.3333,72.3333,71.6667,77
Manning,82,89,71,74,86,77,88,78,556,1,1,0,0,33926.8,12.03,78,87.6667,75.3333,80.6667,79,83
Maple Valley,92,94,83,94,97,90,95,84,555,1,1,0,0,30132.7,10.24,93,95.3333,85.6667,89.6667,93.6667,89.5
Woodbine,69,68,83,53,70,68,78,76,551,1,1,0,0,30269.8,9.54,61,72,75.6667,73.3333,63.6667,77
Rock Valley,85,89,79,72,84,64,86,55,550,1,1,0,0,33266.7,15.11,78.5,86.3333,66,84.3333,73.3333,70.5
Galva-Holstein,96,80,97,88,77,78,69,75,546,1,1,0,0,32284.6,10.02,92,75.3333,83.3333,91,81,72
Danville,80,82,91,73,77,91,93,*,540,1,1,0,0,34943.5,13.24,76.5,84,*,84.3333,80.3333,*
Guthrie Center,85,93,91,85,81,86,94,88,540,1,1,0,0,31361.8,11.03,85,89.3333,88.3333,89.6667,84,91
Sioux Central,77,67,85,74,73,84,*,*,538,1,1,0,0,29569.8,12.65,75.5,*,*,76.3333,77,*
