County,GORE,BUSH,BUCHANAN,NADER,BROWNE,HAGELIN,HARRIS,MCREYNOLDS,MOOREHEAD,PHILLIPS,Total,GOREpct,BUSHpct,BUCHpct,NADERpct,BROWNpct,HAGELpct,HARRSpct,MCRpct,MORHDpct,PHLPSpct
LEVY,5403,6860,67,284,92,1,1,1,11,10,12730,.42443,.538885,.0052632,.0223095,.007227,7.86e-05,7.86e-05,7.86e-05,.0008641,.0007855
LIBERTY,1011,1316,39,19,12,3,0,0,2,1,2403,.420724,.547649,.0162297,.0079068,.0049938,.0012484,0,0,.0008323,.0004161
MADISON,3011,3038,29,54,18,2,0,1,5,1,6159,.488878,.493262,.0047086,.0087677,.0029226,.0003247,0,.0001624,.0008118,.0001624
MANATEE,49169,57948,272,2489,243,35,5,3,26,19,110209,.446143,.525801,.002468,.0225844,.0022049,.0003176,4.54e-05,2.72e-05,.0002359,.0001724
MARION,44648,55135,563,1810,361,26,14,6,49,22,102634,.435022,.5372,.0054855,.0176355,.0035174,.0002533,.0001364,5.85e-05,.0004774,.0002144
MARTIN,26619,33864,108,1075,105,29,13,8,12,19,61852,.430366,.5475,.0017461,.0173802,.0016976,.0004689,.0002102,.0001293,.000194,.0003072
MONROE,16483,16059,47,1090,162,26,1,0,7,3,33878,.48654,.474024,.0013873,.0321743,.0047819,.0007675,2.95e-05,0,.0002066,8.86e-05
NASSAU,6952,16404,90,255,63,8,0,4,3,3,23782,.292322,.689765,.0037844,.0107224,.0026491,.0003364,0,.0001682,.0001261,.0001261
OKALOOSA,16924,52043,267,984,313,15,4,2,20,33,70605,.2397,.737101,.0037816,.0139367,.0044331,.0002125,5.67e-05,2.83e-05,.0002833,.0004674
OKEECHOBEE,4588,5058,43,131,21,4,1,1,4,3,9854,.465598,.513294,.0043637,.0132941,.0021311,.0004059,.0001015,.0001015,.0004059,.0003044
ORANGE,140115,134476,446,3881,892,65,13,7,45,41,279981,.500445,.480304,.001593,.0138617,.0031859,.0002322,4.64e-05,2.5e-05,.0001607,.0001464
OSCEOLA,28177,26216,145,732,309,21,10,5,33,10,55658,.506252,.471019,.0026052,.0131517,.0055518,.0003773,.0001797,8.98e-05,.0005929,.0001797
PALM BEACH,268945,152846,3407,5564,743,143,45,302,103,188,432286,.622146,.353576,.0078814,.0128711,.0017188,.0003308,.0001041,.0006986,.0002383,.0004349
PASCO,69550,68581,570,3392,412,82,18,14,77,17,142713,.487342,.480552,.003994,.023768,.0028869,.0005746,.0001261,9.81e-05,.0005395,.0001191
PINELLAS,199660,184312,1010,9986,1222,444,40,27,167,70,396938,.503,.464334,.0025445,.0251576,.0030786,.0011186,.0001008,6.8e-05,.0004207,.0001764
POLK,74977,90101,538,2060,365,59,8,5,36,46,168195,.445774,.535694,.0031987,.0122477,.0021701,.0003508,4.76e-05,2.97e-05,.000214,.0002735
PUTNAM,12091,13439,147,379,114,7,2,4,12,10,26205,.4614,.512841,.0056096,.0144629,.0043503,.0002671,7.63e-05,.0001526,.0004579,.0003816
ST. JOHNS,19482,39497,229,1214,210,11,4,2,13,12,60674,.321093,.650971,.0037743,.0200086,.0034611,.0001813,6.59e-05,3.3e-05,.0002143,.0001978
ST. LUCIE,41559,34705,124,1368,165,12,4,10,29,13,77989,.532883,.444999,.00159,.0175409,.0021157,.0001539,5.13e-05,.0001282,.0003718,.0001667
SANTA ROSA,12795,36248,311,723,131,13,1,1,19,43,50285,.25445,.720851,.0061847,.014378,.0026052,.0002585,1.99e-05,1.99e-05,.0003778,.0008551
SARASOTA,72854,83100,305,4066,431,94,11,5,59,15,160940,.452678,.516341,.0018951,.0252641,.002678,.0005841,6.83e-05,3.11e-05,.0003666,9.32e-05
SEMINOLE,58888,75293,194,1940,551,38,38,5,70,27,137044,.429701,.549407,.0014156,.014156,.0040206,.0002773,.0002773,3.65e-05,.0005108,.000197
SUMTER,9634,12126,114,307,53,2,2,0,17,3,22258,.432833,.544793,.0051218,.0137928,.0023812,8.99e-05,8.99e-05,0,.0007638,.0001348
SUWANNEE,4084,8014,108,182,53,4,2,0,5,9,12461,.327743,.643127,.008667,.0146056,.0042533,.000321,.0001605,0,.0004013,.0007223
TAYLOR,2647,4051,27,59,4,3,0,1,1,8,6801,.389207,.595648,.00397,.0086752,.0005881,.0004411,0,.000147,.000147,.0011763
UNION,1399,2326,26,29,13,0,1,0,0,0,3794,.36874,.613073,.0068529,.0076436,.0034265,0,.0002636,0,0,0
VOLUSIA,97063,82214,396,2436,3211,33,9888,3,59,2927,198230,.489648,.41474,.0019977,.0122888,.0161984,.0001665,.0498815,1.51e-05,.0002976,.0147657
WAKULLA,3835,4511,46,149,30,3,2,1,6,0,8583,.446813,.525574,.0053594,.0173599,.0034953,.0003495,.000233,.0001165,.0006991,0
WALTON,5637,12176,120,265,68,11,3,2,18,7,18307,.307915,.665101,.0065549,.0144753,.0037144,.0006009,.0001639,.0001092,.0009832,.0003824
WASHINGTON,2796,4983,88,93,32,20,0,0,5,9,8026,.348368,.620857,.0109644,.0115873,.003987,.0024919,0,0,.000623,.0011214
