States,Votes,%Bush,UnEmpR,Pop,%Male,%Male>18,%Pop>65,%NonMetro,%PopPov,NuHouse,%Inc>50,%Inc>75,%Inc>100
Missouri,2359892,50.42,3.5,5595211,48.61,47.73,13.5,32.18,11.7,2240337,15.8,5.5,2.2
Montana,410997,58.44,4.9,902195,49.82,49.29,13.4,76.76,14.6,336099,11.4,3.1,1.4
Nebraska,697019,62.25,3,1711263,49.29,48.61,13.6,47.42,9.7,599558,15.3,5.4,2.2
Nevada,608970,49.52,4.1,1998257,50.96,50.79,11,12.54,10.5,563602,15.3,4.6,2.1
New Hampshire,569081,48.07,2.8,1235786,49.19,48.48,12,37.66,6.5,445399,31.2,11.6,5.5
New Jersey,3187226,40.29,3.8,8414350,48.53,47.62,13.2,0,8.5,2433813,30.6,14.1,6.4
New Mexico,598605,47.85,4.9,1819046,49.16,48.45,11.7,43.1,18.4,498566,11.8,3.6,1.7
New York,6821999,35.23,4.6,18976457,48.21,47.2,12.9,7.92,14.6,5862138,26.6,12.9,7
North Carolina,2911262,56.03,3.6,8049313,48.98,48.27,12,32.45,12.3,2530739,15.7,5.5,2.5
North Dakota,288256,60.66,3,642200,49.9,49.44,14.7,55.78,11.9,281483,9.9,2.7,1.1
Ohio,4705457,49.97,4.1,11353140,48.56,47.67,13.3,18.84,10.6,4514331,17,5.3,2.1
Oklahoma,1234229,60.31,3,3450654,49.14,48.4,13.2,39.19,14.7,1269978,11.6,3.5,1.6
Oregon,1533968,46.52,4.9,3421399,49.6,49.03,12.8,29.15,11.6,1268514,11.4,3.8,1.6
Pennsylvania,4913119,46.43,4.2,12281054,48.29,47.34,15.6,15.39,11,4256258,17.3,5.7,2.3
Rhode Island,409112,31.91,4.1,1048319,48.05,47.03,14.5,8.15,11.9,366684,22.6,8.4,3
South Carolina,1382717,56.84,3.9,4012012,48.59,47.7,12.1,30.04,14.1,1552751,13.4,4.1,1.7
South Dakota,316269,60.3,2.3,754844,49.62,49.01,14.3,65.43,13.2,262967,11,2.9,1.2
Tennessee,2076181,51.15,3.9,5689283,48.69,47.81,12.4,32.39,13.5,2077975,14.7,4.7,2.1
Texas,6407637,59.3,4.2,20851820,49.65,49.03,9.9,15.15,15.4,9392827,12,4.6,2
Utah,770754,66.83,3.2,2233169,50.1,49.47,8.5,23.77,9.4,419854,14.7,5.1,2
Vermont,294308,40.7,2.9,608827,49.01,48.27,12.7,67.33,9.4,190533,19.3,6.4,3.1
Virginia,2739447,52.47,2.2,7078515,49.06,48.37,11.2,21.9,9.6,1965893,22.3,9.4,4.7
Washington,2487433,44.58,5.2,5894121,49.77,49.24,11.2,16.88,10.6,1672825,16.6,5.9,2.3
West Virginia,648124,51.92,5.5,1808344,48.61,47.84,15.3,57.66,17.9,725040,9.7,2.6,1.1
Wisconsin,2598607,47.61,3.5,5363675,49.39,48.74,13.1,32.13,8.7,2228433,14.7,4.8,2
Wyoming,218351,67.76,3.9,493782,50.3,49.92,11.7,70,11.4,181138,8.7,2.8,1
