store,week,sp6pk,sp12pk,sp24pk,sc6pk,sc12pk,sc24pk,pp6pk,pp12pk,pp24pk,pc6pk,pc12pk,pc24pk,holiday,holidayind
24,130,936,9504,22464,1440,8064,11232,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,131,792,32688,8064,864,22176,5472,0.0304,0.0228,0.0243,0.0304,0.0228,0.0243,0,0
24,132,1224,3600,109728,792,1440,39456,0.0304,0.0256,0.0208,0.0304,0.0256,0.0208,0,0
24,133,12888,4896,24480,8352,4896,7488,0.0249,0.0256,0.0243,0.0249,0.0256,0.0243,6,1
24,134,720,75600,8640,432,37440,5184,0.0304,0.0208,0.0243,0.0304,0.0208,0.0243,0,0
24,135,1512,10512,28512,1080,7488,11808,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,136,1152,4464,189216,936,2592,98784,0.0304,0.0256,0.0191,0.0304,0.0256,0.0191,0,0
24,137,216,52704,9504,288,33408,4896,0.0304,0.0208,0.0243,0.0304,0.0208,0.0243,0,0
24,138,792,3600,101376,1296,4320,58464,0.0304,0.0256,0.0208,0.0304,0.0256,0.0208,0,0
24,139,1152,10368,30528,864,6048,14400,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,140,18216,5328,31392,12456,4752,13824,0.0249,0.0256,0.0243,0.0249,0.0256,0.0243,0,0
24,141,1008,4608,166176,1368,2592,73728,0.0304,0.0256,0.0191,0.0304,0.0256,0.0191,7,1
24,142,1296,7488,26784,864,4176,12960,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,143,648,29520,16992,936,24336,9792,0.0304,0.0228,0.0243,0.0304,0.0228,0.0243,0,0
24,144,3384,8352,161280,1872,8352,14400,0.0243,0.0235,0.0208,0.0304,0.0256,0.0243,0,0
24,145,12312,6336,23616,7344,3312,13536,0.0249,0.0256,0.0243,0.0249,0.0256,0.0243,0,0
24,146,648,24912,25920,936,6480,20160,0.0304,0.0208,0.0243,0.0304,0.0256,0.0243,0,0
24,147,1440,3600,156384,1440,2160,59040,0.0304,0.0256,0.0191,0.0304,0.0256,0.0191,8,1
24,148,12312,5328,20448,6912,2736,12672,0.0231,0.0256,0.0243,0.0231,0.0256,0.0243,0,0
24,149,1512,8352,26208,1512,6336,22752,0.0304,0.0256,0.0243,0.0304,0.0256,0.0231,0,0
24,150,432,16560,13536,1224,6480,134208,0.0304,0.0208,0.0243,0.0249,0.0208,0.0173,0,0
24,151,1512,1872,230112,1152,2880,5760,0.0304,0.0256,0.0173,0.0304,0.0256,0.0243,0,0
24,152,7272,3024,12384,648,24768,8064,0.0221,0.0256,0.0243,0.0304,0.0208,0.0243,0,0
24,153,1008,3888,176832,792,2592,9504,0.0304,0.0256,0.0173,0.0304,0.0256,0.0243,0,0
24,154,1080,5184,17280,1008,4464,11232,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,155,936,4176,18144,720,1440,154944,0.0304,0.0256,0.0243,0.0304,0.0228,0.0173,0,0
24,156,792,1296,160128,864,1152,95904,0.0304,0.0256,0.0173,0.0304,0.0256,0.0173,9,1
24,157,11304,1584,8640,576,2160,8928,0.0221,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,158,648,36288,9216,5400,2016,6336,0.0304,0.0194,0.0243,0.0221,0.0256,0.0243,0,0
24,159,3960,3744,17856,216,25776,3456,0.0249,0.0256,0.0243,0.0304,0.0208,0.0243,0,0
24,160,504,14832,13248,360,432,183456,0.0304,0.0228,0.0243,0.0304,0.0256,0.0166,0,0
24,161,11880,3456,19872,864,8352,9216,0.0235,0.0256,0.0243,0.0304,0.0228,0.0243,0,0
24,162,1656,3744,19296,1008,3600,23904,0.0304,0.0256,0.0241,0.0304,0.0256,0.0213,0,0
24,163,792,5184,36000,288,27504,17280,0.0304,0.0256,0.0221,0.0304,0.0208,0.0217,0,0
24,164,432,23904,34272,864,1728,61344,0.0304,0.0208,0.0210,0.0304,0.0256,0.0208,1,1
24,165,9576,4896,17280,1080,3744,6048,0.0249,0.0256,0.0243,0.0263,0.0256,0.0243,0,0
24,166,360,19296,44352,576,18864,7200,0.0304,0.0228,0.0211,0.0304,0.0228,0.0243,0,0
24,167,1008,5184,48096,504,2736,239904,0.0304,0.0256,0.0208,0.0304,0.0237,0.0173,0,0
24,168,720,11376,11232,576,2304,23616,0.0304,0.0229,0.0232,0.0304,0.0256,0.0208,2,1
24,169,9648,3456,15264,648,2592,9504,0.0243,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,170,1152,7776,16128,1296,5472,12096,0.0304,0.0256,0.0243,0.0249,0.0256,0.0243,0,0
24,171,1224,1872,210528,1296,2304,146880,0.0304,0.0256,0.0173,0.0304,0.0256,0.0173,0,0
24,172,936,29232,64224,1008,28800,38304,0.0304,0.0179,0.0177,0.0304,0.0179,0.0176,3,1
24,173,1800,25776,12096,792,25344,7200,0.0240,0.0179,0.0243,0.0304,0.0178,0.0243,4,1
24,174,576,24336,10080,504,16128,8352,0.0304,0.0228,0.0243,0.0304,0.0228,0.0243,0,0
24,175,1296,9504,48960,1008,8784,33120,0.0304,0.0232,0.0225,0.0304,0.0237,0.0225,0,0
24,176,1224,46800,23616,792,32832,10080,0.0304,0.0208,0.0227,0.0304,0.0208,0.0226,0,0
24,177,86256,8784,8640,61416,7344,4896,0.0207,0.0213,0.0243,0.0207,0.0210,0.0243,0,0
24,178,576,41616,6336,1008,34272,4320,0.0304,0.0208,0.0243,0.0304,0.0208,0.0243,0,0
24,179,648,9216,87264,648,5040,44640,0.0304,0.0216,0.0208,0.0304,0.0213,0.0208,0,0
24,180,720,30816,14688,1944,4608,10656,0.0304,0.0242,0.0243,0.0304,0.0256,0.0243,5,1
24,181,24264,10944,10656,28512,3888,8928,0.0207,0.0244,0.0243,0.0207,0.0256,0.0243,0,0
24,182,792,9648,18432,288,34704,4032,0.0304,0.0256,0.0243,0.0304,0.0208,0.0243,0,0
24,183,864,2736,235296,66456,5904,4896,0.0304,0.0256,0.0208,0.0207,0.0256,0.0243,0,0
24,184,29880,3600,12384,33840,37152,4896,0.0207,0.0256,0.0243,0.0208,0.0208,0.0243,0,0
24,185,38808,1872,11808,20016,2736,7200,0.0207,0.0256,0.0243,0.0207,0.0256,0.0243,6,1
24,186,576,4176,95904,864,2448,43776,0.0304,0.0256,0.0202,0.0304,0.0256,0.0207,0,0
24,187,1512,3024,146016,1368,3744,73440,0.0304,0.0256,0.0191,0.0304,0.0256,0.0191,0,0
24,188,648,10080,14976,432,31536,4032,0.0304,0.0256,0.0242,0.0304,0.0208,0.0243,0,0
24,189,1008,55296,9792,1224,2448,33984,0.0311,0.0208,0.0243,0.0307,0.0256,0.0219,0,0
24,190,792,6480,22176,27144,1872,23328,0.0360,0.0256,0.0243,0.0207,0.0258,0.0226,0,0
24,191,648,6480,69696,936,3888,15840,0.0360,0.0264,0.0208,0.0360,0.0291,0.0243,0,0
24,192,576,33552,39744,21672,2448,32832,0.0332,0.0208,0.0210,0.0207,0.0291,0.0193,0,0
24,193,936,4896,20736,648,6048,38016,0.0360,0.0291,0.0242,0.0360,0.0277,0.0197,0,0
24,194,1080,2448,304416,1368,2016,186624,0.0360,0.0291,0.0191,0.0360,0.0291,0.0191,7,1
24,195,1152,3888,21600,16848,2160,11520,0.0360,0.0291,0.0242,0.0228,0.0291,0.0243,0,0
24,196,36072,2880,14112,10368,23904,33408,0.0207,0.0291,0.0243,0.0235,0.0208,0.0191,0,0
24,197,504,60768,6912,25056,2880,25920,0.0360,0.0208,0.0243,0.0207,0.0291,0.0196,0,0
24,198,432,6048,18144,504,12816,7200,0.0360,0.0291,0.0243,0.0360,0.0228,0.0243,0,0
24,199,1296,3312,257184,1512,2592,116352,0.0360,0.0291,0.0208,0.0360,0.0291,0.0208,8,1
24,200,1440,4320,22464,648,21456,10368,0.0360,0.0291,0.0243,0.0360,0.0208,0.0243,0,0
24,201,792,34128,15552,1368,5040,18720,0.0360,0.0208,0.0240,0.0360,0.0291,0.0243,0,0
24,202,1080,5472,19008,1512,1440,165888,0.0360,0.0291,0.0243,0.0360,0.0291,0.0208,0,0
24,203,1440,5760,21888,1152,34272,20448,0.0360,0.0291,0.0243,0.0249,0.0208,0.0243,0,0
24,204,1368,5040,19296,6120,3456,12672,0.0360,0.0291,0.0243,0.0228,0.0291,0.0243,0,0
24,205,1152,2736,61344,1224,4464,11520,0.0360,0.0291,0.0208,0.0360,0.0291,0.0243,0,0
24,206,1800,4608,68832,1656,5472,13824,0.0276,0.0277,0.0208,0.0360,0.0291,0.0243,0,0
24,207,864,36864,10656,1152,28512,6624,0.0360,0.0208,0.0243,0.0360,0.0208,0.0243,0,0
24,208,1008,1008,226656,1224,720,142272,0.0360,0.0291,0.0208,0.0360,0.0291,0.0208,9,1
24,209,1872,12096,20448,16056,1584,10080,0.0235,0.0277,0.0240,0.0235,0.0291,0.0243,0,0
24,210,504,7056,26784,10800,2304,14976,0.0360,0.0291,0.0243,0.0191,0.0291,0.0243,0,0
24,211,720,25056,13248,*,*,8352,0.0360,0.0228,0.0243,*,*,0.0243,0,0
24,212,792,1728,84096,936,2016,41760,0.0360,0.0291,0.0208,0.0360,0.0291,0.0208,0,0
24,213,864,3312,20160,864,2448,14400,0.0360,0.0291,0.0243,0.0360,0.0291,0.0243,0,0
24,214,5112,13968,16416,3456,7920,9216,0.0290,0.0228,0.0243,0.0290,0.0228,0.0243,0,0
24,215,1584,2448,283680,2016,2448,36576,0.0296,0.0280,0.0208,0.0300,0.0287,0.0208,0,0
24,216,1080,22176,95328,648,24768,6912,0.0360,0.0208,0.0208,0.0360,0.0208,0.0243,1,1
24,217,12816,2736,10656,7128,1152,29952,0.0276,0.0291,0.0243,0.0276,0.0281,0.0190,0,0
24,218,4896,38304,5184,2520,24192,3168,0.0293,0.0208,0.0243,0.0297,0.0208,0.0236,0,0
24,219,*,*,*,*,*,*,*,*,*,*,*,*,*,*
24,220,504,2736,29088,792,2304,14688,0.0360,0.0291,0.0214,0.0360,0.0291,0.0218,2,1
24,221,792,3744,16992,648,3024,11232,0.0360,0.0291,0.0243,0.0360,0.0291,0.0243,0,0
24,222,4536,4464,15840,10080,1872,11520,0.0249,0.0291,0.0243,0.0249,0.0291,0.0243,0,0
24,223,864,2736,181728,1872,1872,104832,0.0360,0.0291,0.0152,0.0360,0.0291,0.0152,0,0
24,224,720,20304,109152,864,20880,74304,0.0360,0.0213,0.0149,0.0360,0.0216,0.0146,3,1
24,225,504,45648,7776,936,27792,4032,0.0360,0.0208,0.0243,0.0360,0.0208,0.0243,4,1
24,226,576,8784,14688,360,11232,6336,0.0360,0.0228,0.0243,0.0360,0.0228,0.0243,0,0
24,227,864,3456,35712,576,1872,36576,0.0360,0.0288,0.0208,0.0360,0.0286,0.0208,0,0
24,228,432,20448,16704,7920,1152,13248,0.0360,0.0263,0.0243,0.0235,0.0291,0.0243,0,0
24,229,720,1872,139104,864,1872,92448,0.0368,0.0291,0.0208,0.0361,0.0291,0.0208,0,0
24,230,648,7920,15840,360,8208,10368,0.0388,0.0256,0.0243,0.0388,0.0256,0.0242,0,0
24,231,720,2592,53568,720,1008,42336,0.0388,0.0291,0.0208,0.0388,0.0291,0.0208,0,0
24,232,648,7920,15840,360,8208,10368,0.0388,0.0256,0.0243,0.0388,0.0256,0.0242,5,1
24,233,720,2592,53568,720,1008,42336,0.0388,0.0291,0.0208,0.0388,0.0291,0.0208,0,0
24,234,3096,1152,234144,5544,8208,11232,0.0207,0.0291,0.0175,0.0208,0.0256,0.0243,0,0
24,235,3528,5040,19584,2880,3888,10368,0.0211,0.0277,0.0236,0.0235,0.0277,0.0243,0,0
24,236,4392,2304,13248,5472,2880,122976,0.0235,0.0291,0.0243,0.0235,0.0291,0.0148,0,0
24,237,576,7056,16128,432,6048,10368,0.0388,0.0263,0.0243,0.0361,0.0263,0.0240,0,0
24,238,864,2160,208512,1224,1008,117504,0.0388,0.0291,0.0208,0.0388,0.0291,0.0208,6,1
24,239,648,6912,15264,9288,5328,6336,0.0388,0.0242,0.0243,0.0191,0.0242,0.0243,0,0
24,240,576,7776,22464,936,6048,11520,0.0388,0.0252,0.0243,0.0388,0.0253,0.0243,0,0
24,241,432,13680,15552,792,3312,65376,0.0388,0.0242,0.0243,0.0388,0.0291,0.0184,0,0
24,242,1080,4464,28224,1224,8208,12096,0.0388,0.0291,0.0241,0.0388,0.0242,0.0241,0,0
24,243,864,1008,207648,1656,4320,10944,0.0388,0.0291,0.0176,0.0388,0.0289,0.0243,0,0
24,244,41400,1440,13536,47160,1584,5472,0.0200,0.0291,0.0239,0.0194,0.0291,0.0243,0,0
24,245,1296,3744,17568,1152,5040,9504,0.0388,0.0287,0.0243,0.0388,0.0286,0.0243,0,0
24,246,1008,2448,250560,1008,2736,151488,0.0388,0.0277,0.0149,0.0388,0.0277,0.0153,7,1
24,247,3312,3312,21888,1440,33984,4608,0.0258,0.0277,0.0242,0.0258,0.0208,0.0243,0,0
24,248,648,5040,72864,936,1584,217152,0.0372,0.0256,0.0208,0.0388,0.0255,0.0175,0,0
24,249,6264,3600,57312,1296,4896,75456,0.0374,0.0265,0.0212,0.0388,0.0256,0.0183,0,0
24,250,2088,116784,5184,720,67248,4608,0.0376,0.0175,0.0243,0.0388,0.0176,0.0243,0,0
24,251,2448,2592,216000,2592,3600,133632,0.0250,0.0251,0.0151,0.0225,0.0246,0.0150,8,1
24,252,1008,3888,16416,720,6768,6336,0.0374,0.0256,0.0243,0.0388,0.0256,0.0243,0,0
24,253,37872,2736,9792,26280,1728,12096,0.0196,0.0256,0.0243,0.0203,0.0256,0.0243,0,0
